ID_House,Day,Month,Year,Hour,Holiday,Acorn_Group,Temperature,kWh
MAC003305,25,9,2012,0,No,Lavish Lifestyles,10.93,0.098
MAC003305,25,9,2012,1,No,Lavish Lifestyles,10.81,0.094
MAC003305,25,9,2012,2,No,Lavish Lifestyles,10.27,0.122
MAC003305,25,9,2012,3,No,Lavish Lifestyles,10.2,0.106
MAC003305,25,9,2012,4,No,Lavish Lifestyles,10.21,0.147
MAC003305,25,9,2012,5,No,Lavish Lifestyles,9.81,0.096
MAC003305,25,9,2012,6,No,Lavish Lifestyles,9.74,0.121
MAC003305,25,9,2012,7,No,Lavish Lifestyles,10.46,0.107
MAC003305,25,9,2012,8,No,Lavish Lifestyles,12.18,0.22
MAC003305,25,9,2012,9,No,Lavish Lifestyles,13.36,0.289
MAC003305,25,9,2012,10,No,Lavish Lifestyles,14.6,0.152
MAC003305,25,9,2012,11,No,Lavish Lifestyles,14.61,0.186
MAC003305,25,9,2012,12,No,Lavish Lifestyles,15.47,0.284
MAC003305,25,9,2012,13,No,Lavish Lifestyles,14.92,0.398
MAC003305,25,9,2012,14,No,Lavish Lifestyles,15.29,0.293
MAC003305,25,9,2012,15,No,Lavish Lifestyles,15.19,0.278
MAC003305,25,9,2012,16,No,Lavish Lifestyles,14.66,0.303
MAC003305,25,9,2012,17,No,Lavish Lifestyles,13.9,0.249
MAC003305,25,9,2012,18,No,Lavish Lifestyles,12.97,0.289
MAC003305,25,9,2012,19,No,Lavish Lifestyles,12.38,0.624
MAC003305,25,9,2012,20,No,Lavish Lifestyles,11.86,0.439
MAC003305,25,9,2012,21,No,Lavish Lifestyles,11.73,0.386
MAC003305,25,9,2012,22,No,Lavish Lifestyles,11.81,0.468
MAC003305,25,9,2012,23,No,Lavish Lifestyles,11.27,0.176
MAC003305,26,9,2012,0,No,Lavish Lifestyles,11.18,0.099
MAC003305,26,9,2012,1,No,Lavish Lifestyles,11.32,0.188
MAC003305,26,9,2012,2,No,Lavish Lifestyles,10.93,0.086
MAC003305,26,9,2012,3,No,Lavish Lifestyles,10.07,0.135
MAC003305,26,9,2012,4,No,Lavish Lifestyles,10.78,0.123
MAC003305,26,9,2012,5,No,Lavish Lifestyles,10.46,0.11
MAC003305,26,9,2012,6,No,Lavish Lifestyles,10.54,0.165
MAC003305,26,9,2012,7,No,Lavish Lifestyles,10.93,0.226
MAC003305,26,9,2012,8,No,Lavish Lifestyles,11.54,0.322
MAC003305,26,9,2012,9,No,Lavish Lifestyles,12.59,0.196
MAC003305,26,9,2012,10,No,Lavish Lifestyles,13.21,0.266
MAC003305,26,9,2012,11,No,Lavish Lifestyles,13.44,0.253
MAC003305,26,9,2012,12,No,Lavish Lifestyles,13.88,0.444
MAC003305,26,9,2012,13,No,Lavish Lifestyles,13.62,0.312
MAC003305,26,9,2012,14,No,Lavish Lifestyles,14.17,0.296
MAC003305,26,9,2012,15,No,Lavish Lifestyles,15.14,0.351
MAC003305,26,9,2012,16,No,Lavish Lifestyles,15.11,0.22
MAC003305,26,9,2012,17,No,Lavish Lifestyles,14.31,0.281
MAC003305,26,9,2012,18,No,Lavish Lifestyles,12.88,0.54
MAC003305,26,9,2012,19,No,Lavish Lifestyles,11.63,0.582
MAC003305,26,9,2012,20,No,Lavish Lifestyles,11,0.667
MAC003305,26,9,2012,21,No,Lavish Lifestyles,10.83,1.049
MAC003305,26,9,2012,22,No,Lavish Lifestyles,10.76,1.0039999
MAC003305,26,9,2012,23,No,Lavish Lifestyles,10.66,0.127
MAC003305,27,9,2012,0,No,Lavish Lifestyles,10.57,0.174
MAC003305,27,9,2012,1,No,Lavish Lifestyles,11.15,0.098
MAC003305,27,9,2012,2,No,Lavish Lifestyles,11.62,0.127
MAC003305,27,9,2012,3,No,Lavish Lifestyles,11.78,0.128
MAC003305,27,9,2012,4,No,Lavish Lifestyles,11.8,0.093
MAC003305,27,9,2012,5,No,Lavish Lifestyles,11.84,0.135
MAC003305,27,9,2012,6,No,Lavish Lifestyles,11.81,0.14
MAC003305,27,9,2012,7,No,Lavish Lifestyles,11.81,0.129
MAC003305,27,9,2012,8,No,Lavish Lifestyles,11.87,0.141
MAC003305,27,9,2012,9,No,Lavish Lifestyles,12.68,0.739
MAC003305,27,9,2012,10,No,Lavish Lifestyles,13.04,0.14
MAC003305,27,9,2012,11,No,Lavish Lifestyles,14.16,0.186
MAC003305,27,9,2012,12,No,Lavish Lifestyles,15.09,0.171
MAC003305,27,9,2012,13,No,Lavish Lifestyles,15.47,0.387
MAC003305,27,9,2012,14,No,Lavish Lifestyles,16.41,0.258
MAC003305,27,9,2012,15,No,Lavish Lifestyles,15.96,0.246
MAC003305,27,9,2012,16,No,Lavish Lifestyles,16.61,0.248
MAC003305,27,9,2012,17,No,Lavish Lifestyles,15.06,0.16
MAC003305,27,9,2012,18,No,Lavish Lifestyles,13.36,0.214
MAC003305,27,9,2012,19,No,Lavish Lifestyles,11.78,0.233
MAC003305,27,9,2012,20,No,Lavish Lifestyles,11.1,0.193
MAC003305,27,9,2012,21,No,Lavish Lifestyles,10.86,0.702
MAC003305,27,9,2012,22,No,Lavish Lifestyles,10.78,0.459
MAC003305,27,9,2012,23,No,Lavish Lifestyles,10.82,0.165
MAC003305,28,9,2012,0,No,Lavish Lifestyles,10.64,0.101
MAC003305,28,9,2012,1,No,Lavish Lifestyles,9.77,0.122
MAC003305,28,9,2012,2,No,Lavish Lifestyles,9.22,0.095
MAC003305,28,9,2012,3,No,Lavish Lifestyles,9.11,0.089
MAC003305,28,9,2012,4,No,Lavish Lifestyles,9.03,0.119
MAC003305,28,9,2012,5,No,Lavish Lifestyles,9.09,0.114
MAC003305,28,9,2012,6,No,Lavish Lifestyles,10.15,0.177
MAC003305,28,9,2012,7,No,Lavish Lifestyles,10.93,0.149
MAC003305,28,9,2012,8,No,Lavish Lifestyles,12.5,0.357
MAC003305,28,9,2012,9,No,Lavish Lifestyles,13.72,0.174
MAC003305,28,9,2012,10,No,Lavish Lifestyles,14.65,0.134
MAC003305,28,9,2012,11,No,Lavish Lifestyles,15.93,0.188
MAC003305,28,9,2012,12,No,Lavish Lifestyles,16.62,0.129
MAC003305,28,9,2012,13,No,Lavish Lifestyles,17.07,0.205
MAC003305,28,9,2012,14,No,Lavish Lifestyles,14.55,0.25
MAC003305,28,9,2012,15,No,Lavish Lifestyles,13.43,0.38
MAC003305,28,9,2012,16,No,Lavish Lifestyles,13.77,0.239
MAC003305,28,9,2012,17,No,Lavish Lifestyles,13.32,0.221
MAC003305,28,9,2012,18,No,Lavish Lifestyles,12.99,0.755
MAC003305,28,9,2012,19,No,Lavish Lifestyles,12.52,0.563
MAC003305,28,9,2012,20,No,Lavish Lifestyles,12.43,0.708
MAC003305,28,9,2012,21,No,Lavish Lifestyles,11.94,0.749
MAC003305,28,9,2012,22,No,Lavish Lifestyles,11.45,0.656
MAC003305,28,9,2012,23,No,Lavish Lifestyles,11.01,0.372
MAC003305,29,9,2012,0,No,Lavish Lifestyles,10.51,0.585
MAC003305,29,9,2012,1,No,Lavish Lifestyles,10.59,0.147
MAC003305,29,9,2012,2,No,Lavish Lifestyles,10.36,0.102
MAC003305,29,9,2012,3,No,Lavish Lifestyles,9.86,0.166
MAC003305,29,9,2012,4,No,Lavish Lifestyles,9.32,0.091
MAC003305,29,9,2012,5,No,Lavish Lifestyles,8.78,0.091
MAC003305,29,9,2012,6,No,Lavish Lifestyles,8.74,0.164
MAC003305,29,9,2012,7,No,Lavish Lifestyles,8.97,0.085
MAC003305,29,9,2012,8,No,Lavish Lifestyles,10.57,0.168
MAC003305,29,9,2012,9,No,Lavish Lifestyles,12.1,0.279
